router,n,mean_ms,best_ms,us_per_token,tokens_per_s,online,full_batch,respects_k
WFPD,256,4.206341,1.942166,16.431021,60860.489,yes,no,yes
Token-choice,256,1.372995,1.367583,5.363260,186453.765,yes,no,yes
Expert-choice,256,0.259319,0.245708,1.012966,987200.078,no,yes,no
LPR (OT),256,1.458047,1.447041,5.695497,175577.315,no,yes,yes
WFPD,512,3.883508,3.867542,7.584977,131839.550,yes,no,yes
Token-choice,512,3.572653,2.593583,6.977838,143310.873,yes,no,yes
Expert-choice,512,0.454483,0.445416,0.887663,1126553.798,no,yes,no
LPR (OT),512,2.643708,2.597042,5.163493,193667.350,no,yes,yes
WFPD,1024,7.538883,7.325917,7.362191,135829.136,yes,no,yes
Token-choice,1024,5.275325,5.188875,5.151685,194111.266,yes,no,yes
Expert-choice,1024,0.688931,0.670875,0.672784,1486361.758,no,yes,no
LPR (OT),1024,5.173836,5.089959,5.052574,197918.914,no,yes,yes
WFPD,2048,14.972067,14.588042,7.310579,136788.064,yes,no,yes
Token-choice,2048,10.880931,10.515334,5.312954,188219.196,yes,no,yes
Expert-choice,2048,1.354119,1.316250,0.661191,1512422.095,no,yes,no
LPR (OT),2048,10.631528,10.039583,5.191176,192634.589,no,yes,yes
WFPD,4096,30.515550,29.350583,7.450085,134226.648,yes,no,yes
Token-choice,4096,21.355383,21.007333,5.213717,191801.756,yes,no,yes
Expert-choice,4096,2.743217,2.709250,0.669731,1493137.582,no,yes,no
LPR (OT),4096,21.539911,20.569666,5.258767,190158.632,no,yes,yes
WFPD,8192,62.029570,59.921334,7.571969,132066.046,yes,no,yes
Token-choice,8192,43.727211,41.566042,5.337794,187343.299,yes,no,yes
Expert-choice,8192,5.476556,5.173667,0.668525,1495830.701,no,yes,no
LPR (OT),8192,83.613578,57.739625,10.206736,97974.518,no,yes,yes
